regression_factor,sos_weight,logit_scale,warps_mae,pyth_mae,prior_wins_mae,warps_rmse,pyth_rmse,prior_wins_rmse,n,years
0.75,0.1,6.5,2.293453894750793,2.4003287119947974,2.72972972972973,2.7643789351752726,2.9640929337936237,3.4242116209757283,223,2015-2021
0.75,0.15,6.5,2.293453894750793,2.4003287119947974,2.72972972972973,2.7643789351752726,2.9640929337936237,3.4242116209757283,223,2015-2021
0.75,0.2,6.5,2.293453894750793,2.4003287119947974,2.72972972972973,2.7643789351752726,2.9640929337936237,3.4242116209757283,223,2015-2021
0.75,0.25,6.5,2.293453894750793,2.4003287119947974,2.72972972972973,2.7643789351752726,2.9640929337936237,3.4242116209757283,223,2015-2021
0.75,0.3,6.5,2.293453894750793,2.4003287119947974,2.72972972972973,2.7643789351752726,2.9640929337936237,3.4242116209757283,223,2015-2021
0.6,0.0,5.5,2.3000779634933712,2.4003287119947974,2.72972972972973,2.7667324633898733,2.9640929337936237,3.4242116209757283,223,2015-2021
0.6,0.1,5.5,2.3000779634933712,2.4003287119947974,2.72972972972973,2.7667324633898733,2.9640929337936237,3.4242116209757283,223,2015-2021
0.6,0.15,5.5,2.3000779634933712,2.4003287119947974,2.72972972972973,2.7667324633898733,2.9640929337936237,3.4242116209757283,223,2015-2021
0.6,0.2,5.5,2.3000779634933712,2.4003287119947974,2.72972972972973,2.7667324633898733,2.9640929337936237,3.4242116209757283,223,2015-2021
0.6,0.25,5.5,2.3000779634933712,2.4003287119947974,2.72972972972973,2.7667324633898733,2.9640929337936237,3.4242116209757283,223,2015-2021
0.6,0.3,5.5,2.3000779634933712,2.4003287119947974,2.72972972972973,2.7667324633898733,2.9640929337936237,3.4242116209757283,223,2015-2021
0.65,0.0,6.0,2.300495656839769,2.4003287119947974,2.72972972972973,2.766954205179975,2.9640929337936237,3.4242116209757283,223,2015-2021
0.65,0.1,6.0,2.300495656839769,2.4003287119947974,2.72972972972973,2.766954205179975,2.9640929337936237,3.4242116209757283,223,2015-2021
0.65,0.15,6.0,2.300495656839769,2.4003287119947974,2.72972972972973,2.766954205179975,2.9640929337936237,3.4242116209757283,223,2015-2021
0.65,0.2,6.0,2.300495656839769,2.4003287119947974,2.72972972972973,2.766954205179975,2.9640929337936237,3.4242116209757283,223,2015-2021
0.65,0.25,6.0,2.300495656839769,2.4003287119947974,2.72972972972973,2.766954205179975,2.9640929337936237,3.4242116209757283,223,2015-2021
0.65,0.3,6.0,2.300495656839769,2.4003287119947974,2.72972972972973,2.766954205179975,2.9640929337936237,3.4242116209757283,223,2015-2021
0.7,0.0,6.5,2.3008734760994307,2.4003287119947974,2.72972972972973,2.767161617186131,2.9640929337936237,3.4242116209757283,223,2015-2021
0.7,0.1,6.5,2.3008734760994307,2.4003287119947974,2.72972972972973,2.767161617186131,2.9640929337936237,3.4242116209757283,223,2015-2021
0.7,0.15,6.5,2.3008734760994307,2.4003287119947974,2.72972972972973,2.767161617186131,2.9640929337936237,3.4242116209757283,223,2015-2021
0.7,0.2,6.5,2.3008734760994307,2.4003287119947974,2.72972972972973,2.767161617186131,2.9640929337936237,3.4242116209757283,223,2015-2021
