model,side,edge_threshold,price_edge_threshold,model_prob_threshold,min_agreement_count,bets,wins,pushes,losses,win_pct,units,roi_pct,seasons,profitable_seasons,profitable_season_pct,worst_season_units
WARPS v1.5d,OVER,1.0,0.0,0.5,1,10,2,0,8,20.0,-5.8,-58.0,3,0,0.0,-3.0
WARPS v1.5d,OVER,1.0,0.0,0.5,2,10,2,0,8,20.0,-5.8,-58.0,3,0,0.0,-3.0
WARPS v1.5d,OVER,1.0,0.0,0.5,3,10,2,0,8,20.0,-5.8,-58.0,3,0,0.0,-3.0
WARPS v1.5d,OVER,1.0,0.0,0.5,4,10,2,0,8,20.0,-5.8,-58.0,3,0,0.0,-3.0
WARPS v1.5d,OVER,1.0,0.0,0.55,1,10,2,0,8,20.0,-5.8,-58.0,3,0,0.0,-3.0
WARPS v1.5d,OVER,1.0,0.0,0.55,2,10,2,0,8,20.0,-5.8,-58.0,3,0,0.0,-3.0
WARPS v1.5d,OVER,1.0,0.0,0.55,3,10,2,0,8,20.0,-5.8,-58.0,3,0,0.0,-3.0
WARPS v1.5d,OVER,1.0,0.0,0.55,4,10,2,0,8,20.0,-5.8,-58.0,3,0,0.0,-3.0
WARPS v1.5d,OVER,1.0,0.0,0.6,1,10,2,0,8,20.0,-5.8,-58.0,3,0,0.0,-3.0
WARPS v1.5d,OVER,1.0,0.0,0.6,2,10,2,0,8,20.0,-5.8,-58.0,3,0,0.0,-3.0
WARPS v1.5d,OVER,1.0,0.0,0.6,3,10,2,0,8,20.0,-5.8,-58.0,3,0,0.0,-3.0
WARPS v1.5d,OVER,1.0,0.0,0.6,4,10,2,0,8,20.0,-5.8,-58.0,3,0,0.0,-3.0
WARPS v1.5d,OVER,1.0,0.05,0.5,1,10,2,0,8,20.0,-5.8,-58.0,3,0,0.0,-3.0
WARPS v1.5d,OVER,1.0,0.05,0.5,2,10,2,0,8,20.0,-5.8,-58.0,3,0,0.0,-3.0
WARPS v1.5d,OVER,1.0,0.05,0.5,3,10,2,0,8,20.0,-5.8,-58.0,3,0,0.0,-3.0
WARPS v1.5d,OVER,1.0,0.05,0.5,4,10,2,0,8,20.0,-5.8,-58.0,3,0,0.0,-3.0
WARPS v1.5d,OVER,1.0,0.05,0.55,1,10,2,0,8,20.0,-5.8,-58.0,3,0,0.0,-3.0
WARPS v1.5d,OVER,1.0,0.05,0.55,2,10,2,0,8,20.0,-5.8,-58.0,3,0,0.0,-3.0
WARPS v1.5d,OVER,1.0,0.05,0.55,3,10,2,0,8,20.0,-5.8,-58.0,3,0,0.0,-3.0
WARPS v1.5d,OVER,1.0,0.05,0.55,4,10,2,0,8,20.0,-5.8,-58.0,3,0,0.0,-3.0
WARPS v1.5d,OVER,1.0,0.05,0.6,1,10,2,0,8,20.0,-5.8,-58.0,3,0,0.0,-3.0
WARPS v1.5d,OVER,1.0,0.05,0.6,2,10,2,0,8,20.0,-5.8,-58.0,3,0,0.0,-3.0
WARPS v1.5d,OVER,1.0,0.05,0.6,3,10,2,0,8,20.0,-5.8,-58.0,3,0,0.0,-3.0
WARPS v1.5d,OVER,1.0,0.05,0.6,4,10,2,0,8,20.0,-5.8,-58.0,3,0,0.0,-3.0
WARPS v1.5d,OVER,1.0,0.1,0.5,1,10,2,0,8,20.0,-5.8,-58.0,3,0,0.0,-3.0
WARPS v1.5d,OVER,1.0,0.1,0.5,2,10,2,0,8,20.0,-5.8,-58.0,3,0,0.0,-3.0
WARPS v1.5d,OVER,1.0,0.1,0.5,3,10,2,0,8,20.0,-5.8,-58.0,3,0,0.0,-3.0
WARPS v1.5d,OVER,1.0,0.1,0.5,4,10,2,0,8,20.0,-5.8,-58.0,3,0,0.0,-3.0
WARPS v1.5d,OVER,1.0,0.1,0.55,1,10,2,0,8,20.0,-5.8,-58.0,3,0,0.0,-3.0
WARPS v1.5d,OVER,1.0,0.1,0.55,2,10,2,0,8,20.0,-5.8,-58.0,3,0,0.0,-3.0
WARPS v1.5d,OVER,1.0,0.1,0.55,3,10,2,0,8,20.0,-5.8,-58.0,3,0,0.0,-3.0
WARPS v1.5d,OVER,1.0,0.1,0.55,4,10,2,0,8,20.0,-5.8,-58.0,3,0,0.0,-3.0
WARPS v1.5d,OVER,1.0,0.1,0.6,1,10,2,0,8,20.0,-5.8,-58.0,3,0,0.0,-3.0
