w_pyth_edge,w_pass_epa,w_point_diff,regression_factor,sos_weight,logit_scale,warps_mae,pyth_mae,pw_mae,warps_rmse,n,years
0.35,0.2,0.45,0.75,0.0,5.5,2.3610190095498065,2.5877737034133133,2.8815977175463625,2.8718396021921806,702,2000-2021
0.75,0.25,0.0,0.75,0.0,5.5,2.3611970041034107,2.5877737034133133,2.8815977175463625,2.8745219339828023,702,2000-2021
0.1,0.15,0.75,0.75,0.0,5.5,2.3612154899607343,2.5877737034133133,2.8815977175463625,2.8708540180005175,702,2000-2021
0.7,0.25,0.05,0.75,0.0,5.5,2.3612350431850277,2.5877737034133133,2.8815977175463625,2.8742691736695094,702,2000-2021
0.3,0.2,0.5,0.75,0.0,5.5,2.3612413954177014,2.5877737034133133,2.8815977175463625,2.87178735810278,702,2000-2021
0.65,0.25,0.1,0.75,0.0,5.5,2.3612852293155457,2.5877737034133133,2.8815977175463625,2.8740414032768062,702,2000-2021
0.6,0.25,0.15,0.75,0.0,5.5,2.3613624675326625,2.5877737034133133,2.8815977175463625,2.8738385965300703,702,2000-2021
0.55,0.25,0.2,0.75,0.0,5.5,2.36143903218533,2.5877737034133133,2.8815977175463625,2.8736607251513755,702,2000-2021
0.25,0.2,0.55,0.75,0.0,5.5,2.361462872738463,2.5877737034133133,2.8815977175463625,2.871759825151776,702,2000-2021
0.05,0.15,0.8,0.75,0.0,5.5,2.3614692172025062,2.5877737034133133,2.8815977175463625,2.8709262547313843,702,2000-2021
0.5,0.25,0.25,0.75,0.0,5.5,2.3615821736547535,2.5877737034133133,2.8815977175463625,2.8735077588776985,702,2000-2021
0.2,0.2,0.6,0.75,0.0,5.5,2.361683438892877,2.5877737034133133,2.8815977175463625,2.871756961626505,702,2000-2021
0.0,0.15,0.85,0.75,0.0,5.5,2.3617219804183107,2.5877737034133133,2.8815977175463625,2.8710229549164055,702,2000-2021
0.45,0.25,0.3,0.75,0.0,5.5,2.3617278785575126,2.5877737034133133,2.8815977175463625,2.8733796654795567,702,2000-2021
0.4,0.25,0.35,0.75,0.0,5.5,2.3618727960833015,2.5877737034133133,2.8815977175463625,2.873276410780065,702,2000-2021
0.15,0.2,0.65,0.75,0.0,5.5,2.36191596159848,2.5877737034133133,2.8815977175463625,2.8717787239694963,702,2000-2021
0.35,0.25,0.4,0.75,0.0,5.5,2.3620502032050874,2.5877737034133133,2.8815977175463625,2.8731979586743956,702,2000-2021
0.1,0.2,0.7,0.75,0.0,5.5,2.362216187147367,2.5877737034133133,2.8815977175463625,2.8718250667996363,702,2000-2021
0.3,0.25,0.45,0.75,0.0,5.5,2.362292297091614,2.5877737034133133,2.8815977175463625,2.873144271149628,702,2000-2021
0.05,0.2,0.75,0.75,0.0,5.5,2.3625164303927906,2.5877737034133133,2.8815977175463625,2.8718959429336377,702,2000-2021
0.25,0.25,0.5,0.75,0.0,5.5,2.3625696280770327,2.5877737034133133,2.8815977175463625,2.8731153083049623,702,2000-2021
0.7,0.3,0.0,0.75,0.0,5.5,2.3626411099386306,2.5877737034133133,2.8815977175463625,2.876018112844412,702,2000-2021
0.65,0.3,0.05,0.75,0.0,5.5,2.3626906511282506,2.5877737034133133,2.8815977175463625,2.875788880982896,702,2000-2021
0.6,0.3,0.1,0.75,0.0,5.5,2.3627395220775673,2.5877737034133133,2.8815977175463625,2.875584618809852,702,2000-2021
0.55,0.3,0.15,0.75,0.0,5.5,2.362787722546418,2.5877737034133133,2.8815977175463625,2.8754052980137756,702,2000-2021
0.0,0.2,0.8,0.75,0.0,5.5,2.36281992855296,2.5877737034133133,2.8815977175463625,2.8719913034078095,702,2000-2021
0.2,0.25,0.55,0.75,0.0,5.5,2.362851984951393,2.5877737034133133,2.8815977175463625,2.8731110283723003,702,2000-2021
0.5,0.3,0.2,0.75,0.0,5.5,2.3629010601527933,2.5877737034133133,2.8815977175463625,2.8752508882969265,702,2000-2021
0.45,0.3,0.25,0.75,0.0,5.5,2.3630865816225137,2.5877737034133133,2.8815977175463625,2.875121357394053,702,2000-2021
0.15,0.25,0.6,0.75,0.0,5.5,2.363154053555527,2.5877737034133133,2.8815977175463625,2.8731313877371503,702,2000-2021
0.4,0.3,0.3,0.75,0.0,5.5,2.363285888071121,2.5877737034133133,2.8815977175463625,2.875016671091527,702,2000-2021
