w_pass_epa,w_rush_epa,w_success,w_explosive,w_point_diff,w_pyth_edge,w_turnover,config_name,regression_factor,sos_weight,logit_scale,warps_mae,pyth_mae,prior_wins_mae,warps_rmse,pyth_rmse,prior_wins_rmse,n,years
0.23712174177337092,0.0223991441949933,0.5590110399418238,0.09657242538306768,0.04299698733072279,0.012190339436040323,0.029708321939981148,random_0198,0.65,0.0,6.5,2.3073966640971206,2.4003287119947974,2.72972972972973,2.7586328650507177,2.9640929337936237,3.4242116209757283,223,2015-2021
0.03957541778984541,0.036432308550926475,0.14433358904394303,0.08092866693857528,0.280023746129279,0.35204345015013483,0.06666282139729601,random_0222,0.65,0.0,6.5,2.307470892405373,2.4003287119947974,2.72972972972973,2.767614590042462,2.9640929337936237,3.4242116209757283,223,2015-2021
0.08989926033421287,0.011744192613241862,0.07377290921770355,0.02023409199743895,0.284017311538699,0.5074228549839079,0.01290937931479578,random_0364,0.65,0.0,6.5,2.3079898805447385,2.4003287119947974,2.72972972972973,2.769433596901776,2.9640929337936237,3.4242116209757283,223,2015-2021
0.018841538056811147,0.09259872081027984,0.29039385109367616,0.04116562463600093,0.14609446678962873,0.2382570922174965,0.17264870639610697,random_0270,0.65,0.0,6.5,2.3080319181110065,2.4003287119947974,2.72972972972973,2.764936219459185,2.9640929337936237,3.4242116209757283,223,2015-2021
0.09623303784132786,0.13272662212254752,0.3515097996402363,0.002600566482579778,0.087292165773996,0.15681430514074238,0.17282350299857005,random_0359,0.65,0.0,6.5,2.3082519765965355,2.4003287119947974,2.72972972972973,2.765659806406728,2.9640929337936237,3.4242116209757283,223,2015-2021
0.04509389301200007,0.12485000898419787,0.33872547589456603,0.03291327250856816,0.13571267437038792,0.1389205851900999,0.18378409004018012,random_0194,0.65,0.0,6.5,2.3085724189287995,2.4003287119947974,2.72972972972973,2.766615764015752,2.9640929337936237,3.4242116209757283,223,2015-2021
0.14499372339223965,0.20242790770390642,0.3143471806194629,0.0417380956326973,0.1516596993221163,0.11046100279424328,0.03437239053533429,random_0241,0.65,0.0,6.5,2.308590901272393,2.4003287119947974,2.72972972972973,2.769302567356637,2.9640929337936237,3.4242116209757283,223,2015-2021
0.31098022084463084,0.16711379171812474,0.3847887060721986,0.043750616760217305,0.022531571133780594,0.05967663889558015,0.011158454575467679,random_0201,0.65,0.0,6.5,2.3090313222689174,2.4003287119947974,2.72972972972973,2.768032931232713,2.9640929337936237,3.4242116209757283,223,2015-2021
0.046708190110587175,0.09846888082329396,0.34344326416494475,0.18118225037542274,0.0011758228191449977,0.32095979909505695,0.008061792611549419,random_0271,0.65,0.0,6.5,2.309215323283126,2.4003287119947974,2.72972972972973,2.768846481110719,2.9640929337936237,3.4242116209757283,223,2015-2021
0.021352331182686195,0.02487262691866264,0.25356390483843483,0.15897374048659285,0.27391418452642974,0.16305326001419665,0.10426995203299712,random_0476,0.65,0.0,6.5,2.3094873756881897,2.4003287119947974,2.72972972972973,2.768404802362818,2.9640929337936237,3.4242116209757283,223,2015-2021
