regression_factor,sos_weight,logit_scale,warps_mae,pyth_mae,pw_mae,warps_rmse,n,years
0.7,0.25,6.5,2.3520650543810118,2.5877737034133133,2.8815977175463625,2.852900608829508,702,2000-2021
0.7,0.3,6.5,2.3520650543810118,2.5877737034133133,2.8815977175463625,2.852900608829508,702,2000-2021
0.75,0.0,7.0,2.352095970789665,2.5877737034133133,2.8815977175463625,2.8528388415724772,702,2000-2021
0.75,0.1,7.0,2.352095970789665,2.5877737034133133,2.8815977175463625,2.8528388415724772,702,2000-2021
0.75,0.15,7.0,2.352095970789665,2.5877737034133133,2.8815977175463625,2.8528388415724772,702,2000-2021
0.75,0.2,7.0,2.352095970789665,2.5877737034133133,2.8815977175463625,2.8528388415724772,702,2000-2021
0.75,0.25,7.0,2.352095970789665,2.5877737034133133,2.8815977175463625,2.8528388415724772,702,2000-2021
0.75,0.3,7.0,2.352095970789665,2.5877737034133133,2.8815977175463625,2.8528388415724772,702,2000-2021
0.75,0.0,6.0,2.3527811610098444,2.5877737034133133,2.8815977175463625,2.861066090991006,702,2000-2021
0.75,0.1,6.0,2.3527811610098444,2.5877737034133133,2.8815977175463625,2.861066090991006,702,2000-2021
0.75,0.15,6.0,2.3527811610098444,2.5877737034133133,2.8815977175463625,2.861066090991006,702,2000-2021
0.75,0.2,6.0,2.3527811610098444,2.5877737034133133,2.8815977175463625,2.861066090991006,702,2000-2021
0.75,0.25,6.0,2.3527811610098444,2.5877737034133133,2.8815977175463625,2.861066090991006,702,2000-2021
0.75,0.3,6.0,2.3527811610098444,2.5877737034133133,2.8815977175463625,2.861066090991006,702,2000-2021
0.7,0.0,5.5,2.3534368316936902,2.5877737034133133,2.8815977175463625,2.862606398248584,702,2000-2021
0.7,0.1,5.5,2.3534368316936902,2.5877737034133133,2.8815977175463625,2.862606398248584,702,2000-2021
0.7,0.15,5.5,2.3534368316936902,2.5877737034133133,2.8815977175463625,2.862606398248584,702,2000-2021
0.7,0.2,5.5,2.3534368316936902,2.5877737034133133,2.8815977175463625,2.862606398248584,702,2000-2021
0.7,0.25,5.5,2.3534368316936902,2.5877737034133133,2.8815977175463625,2.862606398248584,702,2000-2021
0.7,0.3,5.5,2.3534368316936902,2.5877737034133133,2.8815977175463625,2.862606398248584,702,2000-2021
0.75,0.0,7.5,2.3537855931574714,2.5877737034133133,2.8815977175463625,2.852671710801226,702,2000-2021
0.75,0.1,7.5,2.3537855931574714,2.5877737034133133,2.8815977175463625,2.852671710801226,702,2000-2021
0.75,0.15,7.5,2.3537855931574714,2.5877737034133133,2.8815977175463625,2.852671710801226,702,2000-2021
0.75,0.2,7.5,2.3537855931574714,2.5877737034133133,2.8815977175463625,2.852671710801226,702,2000-2021
0.75,0.25,7.5,2.3537855931574714,2.5877737034133133,2.8815977175463625,2.852671710801226,702,2000-2021
